city,restaurant_count,avg_rating,avg_votes,avg_cost,rating_std,location_score,location_cluster
Penola,1,3.4,19.0,20.0,0.0,3.3280343501221945,0
Agra,19,3.973684210526316,106.10526315789474,931.578947368421,0.3525180929370197,3.3126594737096284,2
Colombo,16,3.79375,142.6875,1968.75,0.6016297310915856,3.301272305316212,2
Balingup,1,3.2,21.0,20.0,0.0,3.276627404063492,0
Montville,1,2.4,193.0,30.0,0.0,3.2763388102194377,0
Flaxton,1,3.5,37.0,30.0,0.0,3.2272572104183554,0
Kanpur,20,3.815,94.9,915.0,0.28335397241649957,3.2213019618125394,2
Mohali,1,4.3,99.0,550.0,0.0,3.207229410149943,0
Yorkton,1,3.3,26.0,25.0,0.0,3.1780657458572947,0
Rio de Janeiro,19,4.489473684210526,21.05263157894737,129.73684210526315,0.2865401597645515,3.1775504970882227,2
Nashik,20,3.5200000000000005,104.75,662.5,0.21423056934551904,3.1409642683499737,2
S��o Paulo,17,4.152941176470588,32.64705882352941,175.0,0.46249006348626487,3.1192770542075796,2
Varanasi,20,3.5100000000000002,86.45,505.0,0.21980852911951385,3.0893763645293415,2
Ranchi,20,3.4549999999999996,90.35,735.0,0.21636956688426456,3.068072612936267,2
Ojo Caliente,1,3.6,30.0,40.0,0.0,3.039510866901539,0
Patna,20,3.4549999999999996,76.0,797.5,0.13945382182304167,3.014672240202957,0
Winchester Bay,1,3.2,16.0,25.0,0.0,2.999278689272861,0
Ghaziabad,23,3.1,102.82608695652173,628.2608695652174,0.45825756949558394,2.98245447059373,2
Allahabad,20,3.3950000000000005,69.6,517.5,0.13562719801760006,2.9782086300425896,0
Mayfield,1,2.9,11.0,20.0,0.0,2.974786662992397,0
Aurangabad,20,3.375,64.8,622.5,0.14095538674570612,2.9425667092763366,0
Faridabad,151,3.1033112582781457,42.42384105960265,493.3774834437086,0.36412767331309215,2.9155520551000103,2
Singapore,20,3.575,31.9,155.75,0.39051248379533277,2.910904955207041,2
Potrero,1,3.3,9.0,25.0,0.0,2.8800902139542095,0
Santa Rosa,2,3.8,50.5,825.0,0.2828427124746191,2.836578195380757,2
Cochrane,1,3.1,6.0,25.0,0.0,2.69308773077259,0
Bras�_lia,19,3.6789473684210527,11.31578947368421,124.73684210526316,0.4837112859828005,2.684754367038408,2
Consort,1,3.0,6.0,25.0,0.0,2.6530877307725897,0
Paynesville,1,2.6,16.0,120.0,0.0,2.1259453865506375,0
